voucher_date,voucher_type,voucher_number,ledger_name,party_ledger_name,debit,credit,narration,reference_number,cost_centre,gstin,voucher_guid
2026-02-19,Receipt,RCP/2025-26/00012,HDFC Bank 4471,RAZORPAY,"42,957.00",,Settlement setl_CuZnTiYClxMNdd / 2 orders / UTR HDFCN26021900013,HDFCN26021900013,Own Store,,guid_1YoeGiUNdY600DAArbae
2026-02-19,Receipt,RCP/2025-26/00013,HDFC Bank 4471,RAZORPAY,"42,957.00",,Settlement setl_uFrwUwzrXpFW78 / 2 orders / UTR HDFCN26021900014,HDFCN26021900014,Own Store,,guid_LLeZGpMdKJLF30NgscJ9
2026-02-20,Journal,JNL/2025-26/00028,Marketplace Commission,ZEPTO,"31,306.00",,"Commission, GST and TCS on ZEP/SETL/260220",ZEP/SETL/260220,Zepto,,guid_TKpP8umkl48HiclePd7p
2026-02-20,Journal,JNL/2025-26/00028,GST Input,ZEPTO,"5,635.08",,"Commission, GST and TCS on ZEP/SETL/260220",ZEP/SETL/260220,Zepto,,guid_3FgpDaLAQhGzF3Zr7k0b
2026-02-20,Journal,JNL/2025-26/00028,TCS Receivable,ZEPTO,711.50,,"Commission, GST and TCS on ZEP/SETL/260220",ZEP/SETL/260220,Zepto,,guid_4lj11OKLsBudm0fKVhEP
2026-02-20,Payment,PAY/2025-26/00016,Advertising,GOOGLE INDIA,"1,74,900.00",,NEFT DR-GOOGLE INDIA PVT LTD-ADS FEB26,,,,guid_BvBchQsJLEYFI7pc8axE
2026-02-20,Receipt,RCP/2025-26/00025,HDFC Bank 4471,ZEPTO,"1,04,647.42",,Marketplace settlement ZEP/SETL/260220,ZEP/SETL/260220,Zepto,,guid_jGo8YVlvZ5MJtioBdABv
2026-02-21,Receipt,RCP/2025-26/00032,HDFC Bank 4471,PINELABS,"88,310.75",,POS counter settlement TID PL40218928,PL40218928,Retail Counter,,guid_5QkrmkMv0oEWdHMwMJFX
2026-02-21,Sales,SAL/2025-26/00035,Sales,,,"53,705.00",Sales order order_zzrrQtaMqFw1xu,order_zzrrQtaMqFw1xu,Own Store,,guid_0vrFNOiBPfPmlq20tcGC
2026-02-21,Sales,SAL/2025-26/00036,Sales,,,"38,711.00",Sales order order_RmoPHxN7eFr6uG,order_RmoPHxN7eFr6uG,Own Store,,guid_x5zqexdk94e7JC789gie
2026-02-22,Payment,PAY/2025-26/00017,Electricity,MPPKVVCL,"20,180.00",,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,,,,guid_APTW8KbkWbCm5TjFpjVv
2026-02-22,Sales,SAL/2025-26/00037,Sales,,,"14,433.99",Sales order order_O3KMX0QOMaQOd8,order_O3KMX0QOMaQOd8,Own Store,,guid_6rykDgPGNSv3MWsC8z51
2026-02-23,Journal,JNL/2025-26/00015,Bank Charges,RAZORPAY,"2,044.59",,"MDR, GST and TDS 194-O on setl_5h6OXHQZf23NhU",HDFCN26022300015,Own Store,,guid_i5n1YZBb9Lll1ZBwdao8
2026-02-23,Journal,JNL/2025-26/00015,GST Input,RAZORPAY,368.02,,"MDR, GST and TDS 194-O on setl_5h6OXHQZf23NhU",HDFCN26022300015,Own Store,,guid_DOcIb1QNxyC21tBSqW38
2026-02-23,Journal,JNL/2025-26/00015,TDS Receivable,RAZORPAY,106.85,,"MDR, GST and TDS 194-O on setl_5h6OXHQZf23NhU",HDFCN26022300015,Own Store,,guid_JwpnrXMFmWYAMJs1y1DN
2026-02-23,Receipt,RCP/2025-26/00014,HDFC Bank 4471,RAZORPAY,"1,04,330.53",,Settlement setl_5h6OXHQZf23NhU / 3 orders / UTR HDFCN26022300015,HDFCN26022300015,Own Store,,guid_PeEd1PgAMwoO0vJJigsa
2026-02-25,Payment,PAY/2025-26/00018,Purchases,AROMA NATURALS PVT LTD,"1,98,750.00",,NEFT DR-AROMA NATURALS PVT LTD-INV/AN/8902,,,,guid_Zbm6UMTSdcI7HE6FEvXn
2026-02-25,Receipt,RCP/2025-26/00044,HDFC Bank 4471,RAZORPAY,"41,890.00",,Settlement setl_QzT4mKpR8vNb21 / manual entry as per WhatsApp msg,setl_QzT4mKpR8vNb21,Own Store,,guid_u45d9G7cFQCgUym5ti3L
2026-02-25,Sales,SAL/2025-26/00040,Sales,,,"14,669.50",Sales order order_kX94YvN9JO3p93,order_kX94YvN9JO3p93,Own Store,,guid_xskEjBxO5CncBdLNTM17
2026-02-26,Receipt,RCP/2025-26/00040,HDFC Bank 4471,SALON HUB RETAIL PVT LTD,"74,900.00",,Receipt against INV-B2B-0168,INV-B2B-0168,B2B,,guid_hfb8wFarnju9A7ljxTwP
2026-02-26,Sales,SAL/2025-26/00038,Sales,,,"15,264.00",Sales order order_OATODw3MqZN6Sp,order_OATODw3MqZN6Sp,Own Store,,guid_aEOIg95A4Ag3uwrP7kSu
2026-02-26,Sales,SAL/2025-26/00039,Sales,,,"2,337.00",Sales order order_bFoe2NielyvOQt,order_bFoe2NielyvOQt,Own Store,,guid_IZyreS8Pp8yFZPbJnFUw
2026-02-27,Journal,JNL/2025-26/00016,Bank Charges,RAZORPAY,582.01,,"MDR, GST and TDS 194-O on setl_0qojvksDVuw3k3",HDFCN26022700016,Own Store,,guid_roARwelX6bXDHC8qjC7w
2026-02-27,Journal,JNL/2025-26/00016,GST Input,RAZORPAY,104.76,,"MDR, GST and TDS 194-O on setl_0qojvksDVuw3k3",HDFCN26022700016,Own Store,,guid_7gZIfquqM0m226iw8dsn
2026-02-27,Journal,JNL/2025-26/00016,TDS Receivable,RAZORPAY,32.27,,"MDR, GST and TDS 194-O on setl_0qojvksDVuw3k3",HDFCN26022700016,Own Store,,guid_oxmYmsjKAOdpBgGOb6JH
2026-02-27,Receipt,RCP/2025-26/00015,HDFC Bank 4471,RAZORPAY,"31,551.46",,Settlement setl_0qojvksDVuw3k3 / 3 orders / UTR HDFCN26022700016,HDFCN26022700016,Own Store,,guid_6jV0KPvNA0KLWmlxHFzr
2026-02-27,Sales,SAL/2025-26/00069,Sales,,,"93,250.00",Sales order INV-B2B-0181,INV-B2B-0181,B2B,,guid_Heu6SlapCIKyqtlMIaQF
2026-02-28,Payment,PAY/2025-26/00019,TDS Payable,INCOME TAX DEPT,"19,870.00",,TDS PAYMENT CHALLAN 26020012987-194C FEB26,,,,guid_g3PeO7RcD6BkaF6sjAnO
2026-03-01,Sales,SAL/2025-26/00041,Sales,,,"39,515.00",Sales order order_R4GjC8cEPKGkG9,order_R4GjC8cEPKGkG9,Own Store,,guid_cN6zDJg0swpbv9bPyNHm
2026-03-02,Sales,SAL/2025-26/00042,Sales,,,"50,725.00",Sales order order_fka7r2kOxOdPNe,order_fka7r2kOxOdPNe,Own Store,,guid_dax4RDHwQC60LVD3Dt75
2026-03-03,Journal,JNL/2025-26/00017,Bank Charges,RAZORPAY,"1,804.80",,"MDR, GST and TDS 194-O on setl_mmYENc2Kz2eQv4",HDFCN26030300017,Own Store,,guid_zgDzGktRAuLiRZzRkips
2026-03-03,Journal,JNL/2025-26/00017,GST Input,RAZORPAY,324.86,,"MDR, GST and TDS 194-O on setl_mmYENc2Kz2eQv4",HDFCN26030300017,Own Store,,guid_7yQRSDrpgEWPSPlEVwwT
2026-03-03,Journal,JNL/2025-26/00017,TDS Receivable,RAZORPAY,90.24,,"MDR, GST and TDS 194-O on setl_mmYENc2Kz2eQv4",HDFCN26030300017,Own Store,,guid_8Hg4mJa6z8c6kzTkaMCY
2026-03-03,Receipt,RCP/2025-26/00016,HDFC Bank 4471,RAZORPAY,"90,240.00",,Settlement setl_mmYENc2Kz2eQv4 / 2 orders / UTR HDFCN26030300017,HDFCN26030300017,Own Store,,guid_g3zfZkzJ3DPX0OuBbwyU
2026-03-04,Receipt,RCP/2025-26/00033,HDFC Bank 4471,PINELABS,"57,620.00",,POS counter settlement TID PL40218939,PL40218939,Retail Counter,,guid_mVfSdCR3kJoXpX9TWoo0
2026-03-04,Sales,SAL/2025-26/00061,Sales,,,"1,68,940.00",Sales order BLI/SETL/260306,BLI/SETL/260306,Blinkit,,guid_CVckfDalh6zSd5omlXtz
2026-03-05,Payment,PAY/2025-26/00020,Salaries,STAFF,"5,01,200.00",,NACH DR-LUMEA SALARY BATCH MAR26-NPCI,,,,guid_9X1CsWGIkwXqMzNXDzqH
2026-03-05,Sales,SAL/2025-26/00043,Sales,,,"3,415.00",Sales order order_6wId409lXOptWk,order_6wId409lXOptWk,Own Store,,guid_wncTYpiF0gNAqMdRaRUS
2026-03-06,Journal,JNL/2025-26/00029,Marketplace Commission,BLINKIT,"30,409.20",,"Commission, GST and TCS on BLI/SETL/260306",BLI/SETL/260306,Blinkit,,guid_IoC5St3z6glGQOsfuu3x
2026-03-06,Journal,JNL/2025-26/00029,GST Input,BLINKIT,"5,473.66",,"Commission, GST and TCS on BLI/SETL/260306",BLI/SETL/260306,Blinkit,,guid_WvHEJnYFDbYQYpgWq3ng
2026-03-06,Journal,JNL/2025-26/00029,TCS Receivable,BLINKIT,844.70,,"Commission, GST and TCS on BLI/SETL/260306",BLI/SETL/260306,Blinkit,,guid_BNDmfC6rxJJTaoiKoZIW
2026-03-06,Payment,PAY/2025-26/00021,Packing Material,KRISHNA LABELS,"46,800.00",,NEFT DR-KRISHNA LABELS AND PRINT-INV/KL/1194,,,,guid_QvxEqM2Dvf5ENUzb9vPA
2026-03-06,Receipt,RCP/2025-26/00026,HDFC Bank 4471,BLINKIT,"1,32,212.44",,Marketplace settlement BLI/SETL/260306,BLI/SETL/260306,Blinkit,,guid_tBsOlgnNMa4MmxhdA0hz
2026-03-06,Sales,SAL/2025-26/00044,Sales,,,"2,606.00",Sales order order_rEY9aZpWAPQuUB,order_rEY9aZpWAPQuUB,Own Store,,guid_C7N0m6w7wP8Im9Rr6zTl
2026-03-07,Journal,JNL/2025-26/00018,TDS Receivable,RAZORPAY,6.02,,"MDR, GST and TDS 194-O on setl_iEqnb1TRDbM6lt",HDFCN26030700018,Own Store,,guid_DWHi7tii9E5q4LGxNLO3
2026-03-07,Receipt,RCP/2025-26/00017,HDFC Bank 4471,RAZORPAY,"3,408.98",,Settlement setl_iEqnb1TRDbM6lt / 2 orders / UTR HDFCN26030700018,HDFCN26030700018,Own Store,,guid_pupIQEE5AZq5Av6pyaUt
2026-03-08,Payment,PAY/2025-26/00022,Rent,VARDHMAN ESTATES,"92,000.00",,RTGS DR-VARDHMAN ESTATES-RENT MAR 2026,,,,guid_5fbXX0Kbcz6cq5AT4mz0
2026-03-09,Receipt,RCP/2025-26/00041,HDFC Bank 4471,AYUR WELLNESS DISTRIBUTORS,"1,34,500.00",,Receipt against INV-B2B-0174,INV-B2B-0174,B2B,,guid_vwAl89NwUwHrsG4cfMyS
2026-03-09,Sales,SAL/2025-26/00046,Sales,,,"14,599.00",Sales order order_tXDLPyde0i7TNt,order_tXDLPyde0i7TNt,Own Store,,guid_bOdXr2fjknXY0NOMt6Kr
2026-03-09,Sales,SAL/2025-26/00070,Sales,,,"1,02,600.00",Sales order INV-B2B-0188,INV-B2B-0188,B2B,,guid_IgwHT81ruKD6eNEOB3ZZ
2026-03-10,Payment,PAY/2025-26/00023,Freight Outward,DELHIVERY LIMITED,"94,180.00",,NEFT DR-DELHIVERY LIMITED-INV/DL/23197,,,,guid_jM9EFsPywnnmeECmOVBH
2026-03-10,Sales,SAL/2025-26/00045,Sales,,,"2,426.00",Sales order order_MYLtWs99jTZUeN,order_MYLtWs99jTZUeN,Own Store,,guid_oEnHNdyI7wyqXbXQLfCX
2026-03-10,Sales,SAL/2025-26/00047,Sales,,,"19,284.00",Sales order order_EJlgx1aMiBl4A4,order_EJlgx1aMiBl4A4,Own Store,,guid_1iTUuiehwxcsHWQuCmDP
2026-03-10,Sales,SAL/2025-26/00048,Sales,,,"20,439.00",Sales order order_f3eHQoMyitIPfK,order_f3eHQoMyitIPfK,Own Store,,guid_2wq9ef0EcHCEX0Ltpk1D
2026-03-11,Journal,JNL/2025-26/00019,Bank Charges,RAZORPAY,338.07,,"MDR, GST and TDS 194-O on setl_dn4tT0bvTejuU7",HDFCN26031100019,Own Store,,guid_syDUXLY6adl3cofpcMnH
2026-03-11,Journal,JNL/2025-26/00019,GST Input,RAZORPAY,60.86,,"MDR, GST and TDS 194-O on setl_dn4tT0bvTejuU7",HDFCN26031100019,Own Store,,guid_t1p6hn263pcoeMl7f9pp
2026-03-11,Journal,JNL/2025-26/00019,TDS Receivable,RAZORPAY,17.02,,"MDR, GST and TDS 194-O on setl_dn4tT0bvTejuU7",HDFCN26031100019,Own Store,,guid_bfXzWXK3mUg5YzGJEytw
2026-03-11,Journal,JNL/2025-26/00020,Bank Charges,RAZORPAY,693.42,,"MDR, GST and TDS 194-O on setl_V7gMclIMIrNOVf",HDFCN26031100020,Own Store,,guid_J8UYr17imbNOaLqVbbWa
2026-03-11,Journal,JNL/2025-26/00020,GST Input,RAZORPAY,124.81,,"MDR, GST and TDS 194-O on setl_V7gMclIMIrNOVf",HDFCN26031100020,Own Store,,guid_uDYfro3FHYkSwdTfPCXL
2026-03-11,Journal,JNL/2025-26/00020,TDS Receivable,RAZORPAY,39.72,,"MDR, GST and TDS 194-O on setl_V7gMclIMIrNOVf",HDFCN26031100020,Own Store,,guid_hKaYODWZsFsx3pxyCcfs
2026-03-11,Receipt,RCP/2025-26/00018,HDFC Bank 4471,RAZORPAY,"55,474.10",,Settlement consolidated 2 batches / UTR HDFCN26031100019,HDFCN26031100019,Own Store,,guid_MinHB18oegW9k2H7A42o
2026-03-13,Sales,SAL/2025-26/00051,Sales,,,"7,718.00",Sales order order_WInGFh3658f4Y9,order_WInGFh3658f4Y9,Own Store,,guid_1Z33hXXBGw1C5vBIQgdb
2026-03-14,Receipt,RCP/2025-26/00034,HDFC Bank 4471,PINELABS,"69,450.50",,POS counter settlement TID PL40218949,PL40218949,Retail Counter,,guid_EzTopN8sW10sfAVrTMYt
2026-03-14,Sales,SAL/2025-26/00049,Sales,,,"33,656.50",Sales order order_vSP0mL2mHJ47Hc,order_vSP0mL2mHJ47Hc,Own Store,,guid_Vl4pX6TPu0LOF2d1yVk0
2026-03-14,Sales,SAL/2025-26/00050,Sales,,,"3,670.50",Sales order order_MTU3E4zrCLSK51,order_MTU3E4zrCLSK51,Own Store,,guid_rZwgWLnewUE1ynI3dypK
2026-03-15,Journal,JNL/2025-26/00021,Bank Charges,RAZORPAY,673.13,,"MDR, GST and TDS 194-O on setl_fH7aqPJyvJrTp1",HDFCN26031500021,Own Store,,guid_1ETjIg2GzOvg582NrMiZ
2026-03-15,Journal,JNL/2025-26/00021,GST Input,RAZORPAY,121.16,,"MDR, GST and TDS 194-O on setl_fH7aqPJyvJrTp1",HDFCN26031500021,Own Store,,guid_h84HumaovMtXsGrQQRu4
2026-03-15,Journal,JNL/2025-26/00021,TDS Receivable,RAZORPAY,45.04,,"MDR, GST and TDS 194-O on setl_fH7aqPJyvJrTp1",HDFCN26031500021,Own Store,,guid_Z90Sz5dCMBvqXYmSZD1K
2026-03-15,Receipt,RCP/2025-26/00019,HDFC Bank 4471,RAZORPAY,"44,205.67",,Settlement setl_fH7aqPJyvJrTp1 / 3 orders / UTR HDFCN26031500021,HDFCN26031500021,Own Store,,guid_H5j9XTGhJR61fmKywcV0
2026-03-17,Sales,SAL/2025-26/00062,Sales,,,"1,19,760.00",Sales order ZEP/SETL/260319,ZEP/SETL/260319,Zepto,,guid_OLvrisqQ0subGuUoda7C
2026-03-18,Payment,PAY/2025-26/00024,GST Payable,GST DEPT,"1,56,880.00",,GST PMT-06 CHALLAN 26031234512345-MAR26,,,,guid_FINVrnFxmAapb4Q4RLw9
2026-03-18,Sales,SAL/2025-26/00052,Sales,,,"23,615.00",Sales order order_E9qOLhWW7aHOxq,order_E9qOLhWW7aHOxq,Own Store,,guid_L82KVcd6OlAyLI6kVFu4
2026-03-18,Sales,SAL/2025-26/00053,Sales,,,"27,629.00",Sales order order_U9OjqjgveKZe2o,order_U9OjqjgveKZe2o,Own Store,,guid_9PQZSaY8YQhyfiPJQLzg
2026-03-19,Journal,JNL/2025-26/00022,Chargeback Suspense,RAZORPAY,"23,615.00",,Chargeback raised on order order_E9qOLhWW7aHOxq,disp_a4IKGiqAP32Gry,Own Store,,guid_FSbrVz0h8pyM4GUgcdXM
2026-03-19,Journal,JNL/2025-26/00022,Razorpay Clearing,RAZORPAY,,"23,615.00",Chargeback raised on order order_E9qOLhWW7aHOxq,disp_a4IKGiqAP32Gry,Own Store,,guid_aTHTc9BHmUt0oJzbOy93
2026-03-19,Journal,JNL/2025-26/00023,TDS Receivable,RAZORPAY,51.24,,"MDR, GST and TDS 194-O on setl_tiyzmwh9RrJiIq",HDFCN26031900022,Own Store,,guid_ZndIGLjSWiTZVZI9W2Hm
2026-03-19,Journal,JNL/2025-26/00030,Marketplace Commission,ZEPTO,"26,347.20",,"Commission, GST and TCS on ZEP/SETL/260319",ZEP/SETL/260319,Zepto,,guid_Nc7Vk6mwLwbJZV1KoAOG
2026-03-19,Journal,JNL/2025-26/00030,GST Input,ZEPTO,"4,742.50",,"Commission, GST and TCS on ZEP/SETL/260319",ZEP/SETL/260319,Zepto,,guid_aXNLpLvNJFJdPpOro1as
2026-03-19,Journal,JNL/2025-26/00030,TCS Receivable,ZEPTO,598.80,,"Commission, GST and TCS on ZEP/SETL/260319",ZEP/SETL/260319,Zepto,,guid_lIAfN99Up4wpDemMvtF0
2026-03-19,Receipt,RCP/2025-26/00020,HDFC Bank 4471,RAZORPAY,"27,577.76",,Settlement setl_tiyzmwh9RrJiIq / 2 orders / UTR HDFCN26031900022,HDFCN26031900022,Own Store,,guid_xRzwIdg4BNXCFlnoRFSC
2026-03-19,Receipt,RCP/2025-26/00027,HDFC Bank 4471,ZEPTO,"88,071.50",,Marketplace settlement ZEP/SETL/260319,ZEP/SETL/260319,Zepto,,guid_reN38mkuGVQf9VL1UBPD
2026-03-19,Receipt,RCP/2025-26/00042,HDFC Bank 4471,URBAN SPA VENTURES,"93,250.00",,Receipt against INV-B2B-0181,INV-B2B-0181,B2B,,guid_cozhC2eIVx1Nrrf0K3J0
2026-03-19,Sales,SAL/2025-26/00071,Sales,,,"11,165.00",Sales order order_8UFr8mIUGdWTc5,order_8UFr8mIUGdWTc5,Own Store,,guid_yYEvGbDploolExK6flDD
2026-03-21,Payment,PAY/2025-26/00025,Advertising,META PLATFORMS,"2,32,400.00",,NEFT DR-META PLATFORMS IRELAND-ADS MAR26,,,,guid_XRTAJw3U6NOBDquNfSSf
2026-03-21,Sales,SAL/2025-26/00054,Sales,,,"30,194.50",Sales order order_jfCtPQ9etAvgpt,order_jfCtPQ9etAvgpt,Own Store,,guid_6MaKdVO22E4nzGR6jGeS
2026-03-21,Sales,SAL/2025-26/00055,Sales,,,"17,988.00",Sales order order_jDmgF6aTqYZa0Z,order_jDmgF6aTqYZa0Z,Own Store,,guid_AKFee4JNyxdU8aVgpP2Y
2026-03-21,Sales,SAL/2025-26/00056,Sales,,,"10,247.50",Sales order order_RGJJsC8Sb0cKqk,order_RGJJsC8Sb0cKqk,Own Store,,guid_pqUUPYg2CE2hgHp5F187
2026-03-23,Journal,JNL/2025-26/00024,Bank Charges,RAZORPAY,359.76,,"MDR, GST and TDS 194-O on setl_HHA4wJLIgvh0jm",HDFCN26032300023,Own Store,,guid_TgmtoiUrFABDmiXll6MT
2026-03-23,Journal,JNL/2025-26/00024,GST Input,RAZORPAY,64.76,,"MDR, GST and TDS 194-O on setl_HHA4wJLIgvh0jm",HDFCN26032300023,Own Store,,guid_1Ba0jFQvn3dNBPDPYVxD
2026-03-23,Journal,JNL/2025-26/00024,TDS Receivable,RAZORPAY,58.43,,"MDR, GST and TDS 194-O on setl_HHA4wJLIgvh0jm",HDFCN26032300023,Own Store,,guid_uzSOpsoMACaieUPI2QUB
2026-03-23,Receipt,RCP/2025-26/00021,HDFC Bank 4471,RAZORPAY,"57,947.05",,Settlement setl_HHA4wJLIgvh0jm / 3 orders / UTR HDFCN26032300023,HDFCN26032300023,Own Store,,guid_6PoefNY5KrQKVFP1cKgo
2026-03-25,Payment,PAY/2025-26/00026,Packing Material,SHREE PACKAGING LLP,"1,21,900.00",,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0587,,,,guid_B8QDRdxEkwZgmPRtBrc7
2026-03-26,Receipt,RCP/2025-26/00035,HDFC Bank 4471,PINELABS,"80,115.00",,POS counter settlement TID PL40218961,PL40218961,Retail Counter,,guid_8QmUpXaZuuUWBXkfN61R
2026-03-28,Journal,JNL/2025-26/00031,Razorpay Clearing,RAZORPAY,"23,615.00",,Chargeback reversal on order_E9qOLhWW7aHOxq,HDFCN26032800024,Own Store,,guid_zRCuJCgbOd9dK4Elx0er
2026-03-28,Journal,JNL/2025-26/00031,Chargeback Suspense,RAZORPAY,,"23,615.00",Chargeback reversal on order_E9qOLhWW7aHOxq,HDFCN26032800024,Own Store,,guid_SqdXguWkfTChvb8x4IKq
2026-03-28,Payment,PAY/2025-26/00027,TDS Payable,INCOME TAX DEPT,"23,140.00",,TDS PAYMENT CHALLAN 26030013442-194C MAR26,,,,guid_kqVKnb2TUiaLvI6i1TPO
2026-03-28,Receipt,RCP/2025-26/00046,HDFC Bank 4471,RAZORPAY,"23,615.00",,Chargeback reversal credit / UTR HDFCN26032800024,HDFCN26032800024,Own Store,,guid_Dpr93cEBTKCs2rdDlycF
2026-03-29,Receipt,RCP/2025-26/00043,HDFC Bank 4471,SHRINGAR RETAIL LLP,"1,02,600.00",,Receipt against INV-B2B-0188,INV-B2B-0188,B2B,,guid_dP0vf4tvGkMyZ1d0xj4J
2026-03-30,Payment,PAY/2025-26/00028,Electricity,MPPKVVCL,"17,420.00",,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,,,,guid_dvjmCCtYntcWRpQptebi
